Claim,Evidence Snippet,Citation,Confidence,Notes
"Georgiev
Phil Culliton
Pradeep Kuppala
Ramona Comanescu
Ramona Merhej
Reena Jana
Reza Ardeshir Rokni
Rishabh Agarwal
Ryan MullinsSamaneh Saadat
Sara M...","Georgiev
Phil Culliton
Pradeep Kuppala
Ramona Comanescu
Ramona Merhej
Reena Jana
Reza Ardeshir Rokni
Rishabh Agarwal
Ryan MullinsSamaneh Saadat
Sara Mc Carthy
Sarah Cogan
Sarah Perrin
Sébastien M. R. Arnold
Sebastian Krause
Shengyang Dai
Shruti Garg
Shruti Sheth
Sue Ronstrom
Susan Chan
Timothy Jorda...","Gemma2_2024, Gemma2_2024_chunk_0056",High,Relevance: 0.70
"eff Dean
Demis Hassabis
Koray Kavukcuoglu
Clement Farabet
Technical advisors
Elena Buchatskaya
Sebastian Borgeaud
Noah Fiedel
Lead
Armand Joulin
Techn...","eff Dean
Demis Hassabis
Koray Kavukcuoglu
Clement Farabet
Technical advisors
Elena Buchatskaya
Sebastian Borgeaud
Noah Fiedel
Lead
Armand Joulin
Technical leads
Kathleen Kenealy
Robert Dadashi
Alek Andreev
17

Gemma 2: Improving Open Language Models at a Practical Size","Gemma2_2024, Gemma2_2024_chunk_0057",High,Relevance: 0.70
"MiniCPM: Unveiling the Potential of Small Language Models
with Scalable Training Strategies
Shengding Hu1, Yuge T u2, Xu Han1∗, Chaoqun He1, Ganqu Cui...","MiniCPM: Unveiling the Potential of Small Language Models
with Scalable Training Strategies
Shengding Hu1, Yuge T u2, Xu Han1∗, Chaoqun He1, Ganqu Cui1, Xiang Long2,
Zhi Zheng2, Yewei Fang2, Yuxiang Huang1, Weilin Zhao1, Xinrong Zhang1,
Zheng Leng Thai1,Kaihuo Zhang2, Chongyi Wang2, Yuan Yao1,
Cheny...","MiniCPM_2024, MiniCPM_2024_chunk_0000",High,Relevance: 0.70
"rporations. On the other hand, the deployment of these colossal models in everyday
scenarios, such as on personal computers or smartphones, is either ...","rporations. On the other hand, the deployment of these colossal models in everyday
scenarios, such as on personal computers or smartphones, is either inefficient or unfeasible.
∗Corresponding Authors.
1
1arXiv:2404.06395v3 [cs.CL] 3 Jun 2024

Both aspects underscore the imperative to refocus efforts...","MiniCPM_2024, MiniCPM_2024_chunk_0004",High,Relevance: 0.70
"2 Related Work
Small Language Models. “Small Language Models” (SLMs) is an evolving concept that has
undergone significant transformations over time. ...","2 Related Work
Small Language Models. “Small Language Models” (SLMs) is an evolving concept that has
undergone significant transformations over time. Presently, SLMs are generally construed as
models that are smaller in scale compared to the well-known LLMs, typically not exceeding
7 billion paramet...","MiniCPM_2024, MiniCPM_2024_chunk_0009",High,Relevance: 0.70
"ute-optimal large language models. arXiv preprint
arXiv:2203.15556 , 2022.
[HSK+24] Cheng-Ping Hsieh, Simeng Sun, Samuel Kriman, Shantanu Acharya, Dim...","ute-optimal large language models. arXiv preprint
arXiv:2203.15556 , 2022.
[HSK+24] Cheng-Ping Hsieh, Simeng Sun, Samuel Kriman, Shantanu Acharya, Dima Rekesh, Fei Jia,
Yang Zhang, and Boris Ginsburg. Ruler: What’s the real context size of your long-context
language models?, 2024.
[JBA+23] Mojan Jav...","Phi3_2024, Phi3_2024_chunk_0048",High,Relevance: 0.70
"ngual language model with progressively enhanced capabilities,
2023. URL  .
Shantanu Jain. tiktoken: A fast BPE tokeniser for use with OpenAI’s models...","ngual language model with progressively enhanced capabilities,
2023. URL  .
Shantanu Jain. tiktoken: A fast BPE tokeniser for use with OpenAI’s models, 2022. URL https:
//github.com/openai/tiktoken/ .
Yunjie Ji, Yong Deng, Yan Gong, Yiping Peng, Qiang Niu, Lei Zhang, Baochang Ma, and Xiangang
Li. Ex...","SLMEval_2023, SLMEval_2023_chunk_0106",High,Relevance: 0.70
"on Cohen, Rachel Bernstein,
Ray Kurzweil, Blaise Ag ¨uera y Arcas, Claire Cui, Marian Croak, Ed H. Chi, and Quoc Le.
LaMDA: Language models for dialog...","on Cohen, Rachel Bernstein,
Ray Kurzweil, Blaise Ag ¨uera y Arcas, Claire Cui, Marian Croak, Ed H. Chi, and Quoc Le.
LaMDA: Language models for dialog applications. CoRR , abs/2201.08239, 2022. URL
 .
Hugo Touvron, Thibaut Lavril, Gautier Izacard, Xavier Martinet, Marie-Anne Lachaux, Timoth ´ee
Lacr...","SLMEval_2023, SLMEval_2023_chunk_0125",High,Relevance: 0.70
"MODELS(LLMS)
We used large language models (LLMs) only for minor text polishing, such as grammar and phras-
ing. All ideas, experiments, analyses, and...","MODELS(LLMS)
We used large language models (LLMs) only for minor text polishing, such as grammar and phras-
ing. All ideas, experiments, analyses, and discussions were conducted solely by the authors. The
LLM did not contribute to the design and interpretation of our research.","SLMasJudge_2026, SLMasJudge_2026_chunk_0039",High,Relevance: 0.70
"TinyStories : How Small Can Language Models Be and Still Speak
Coherent English?
Ronen Eldan∗and Yuanzhi Li†
Microsoft Research
April 2023","TinyStories : How Small Can Language Models Be and Still Speak
Coherent English?
Ronen Eldan∗and Yuanzhi Li†
Microsoft Research
April 2023","TinyLlama_2023, TinyLlama_2023_chunk_0000",High,Relevance: 0.70
